Id	Bas3	Bas2	WT4	WT3	norm.Bas3	norm.Bas2	norm.WT4	norm.WT3	baseMean	Base	WT	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks	cogClass	prod
CD630_00350	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	K	Transcriptional regulator
CD630_00360	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	C	Acetoin dehydrogenase E1 component %28TPP-dependent alpha subunit%29
CD630_00370	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	C	Acetoin dehydrogenase E1 component %28TPP-dependent beta subunit%29
CD630_00380	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	C	Acetoin dehydrogenase E2 component %28dihydrolipoamide acetyltransferase%29
CD630_00390	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	C-C	Acetoin dehydrogenase E3 component %28dihydrolipoamide dehydrogenase%29
CD630_00400	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	K-KT-GT	Transcription antiterminator%2C PTS operon regulator
CD630_00410	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	GT	PTS system%2C galactitol-specific IIA component
CD630_00420	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	PTS system%2C galactitol-specific IIB component
CD630_00430	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	PTS system%2C galactitol-specific IIC component
CD630_00440	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_00450	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	EG	Putative sugar-phosphate aldolase
CD630_00460	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	H	Putative lipoate-protein ligase
CD630_00470	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CD630_00480	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase
CD630_00490	2	2	2	6	5	4	1	2	2.88	4	2	0.77	-0.377	-0.793	0.427688661908796	0.619320915004813	0	1.0143	0.8176	0.8176	TRUE	NA	J	Prolyl-tRNA synthetase
CD630_00500	10	3	4	4	23	5	3	1	8.05	14	2	0.348	-1.523	-2.557	0.0105615912571717	0.105538952214222	0	0.3949	0.3954	0.3954	TRUE	NA	J	Prolyl-tRNA synthetase
CD630_00510	0	0	2	3	0	0	1	1	0.59	0	1	1.065	0.09	0.342	0.732543430505898	NA	0	12.0348	10	10	TRUE	NA	J	Glutamyl-tRNA synthetase
CD630_00511	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_00520	0	1	5	1	0	2	3	0	1.39	1	2	1.081	0.112	0.301	0.763198394756577	NA	0	3.4174	3.0072	3.0072	TRUE	NA	J	Cysteinyl-tRNA synthetase %28Cysteine--tRNA ligase%29 %28CysRS%29
CD630_00530	0	1	3	1	0	2	2	0	1.05	1	1	1.017	0.025	0.07	0.944228958113398	NA	0	4.6458	3.8398	3.8398	TRUE	NA	J	Ribonuclease III
CD630_00540	2	0	0	6	5	0	0	2	1.63	2	1	0.901	-0.151	-0.393	0.694469640836075	NA	5.4999	2.8229	3.0087	3.0087	TRUE	NA	F	Thymidylate synthase
CD630_00550	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	J	Putative tRNA/rRNA methyltransferase%2C TrmH family%2C group3
CD630_00560	0	0	1	0	0	0	1	0	0.17	0	0	0.991	-0.013	-0.052	0.958647752371122	NA	0	86.313	10	10	TRUE	NA	J	Putative ribonuclease
CD630_00570	0	0	4	6	0	0	3	2	1.18	0	2	1.233	0.302	0.834	0.404092940508482	NA	0	4.0622	3.7399	3.7399	TRUE	NA	K	RNA polymerase factor sigma-70
CD630_00580	5	4	8	54	11	7	5	18	10.47	9	12	1.129	0.175	0.379	0.704448199560747	0.861249799965535	0.3281	0.3156	0.3176	0.3176	TRUE	NA	J	Elongation factor EFTu/EF1A
CD630_00581	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	J	50S ribosomal protein L33
CD630_00590	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	U	Preprotein translocase SecE subunit
CD630_00600	2	0	7	8	5	0	5	3	2.99	2	4	1.152	0.204	0.444	0.656844580738505	0.824549580075996	0.1463	0.9749	0.9073	0.9073	TRUE	NA	K	transcription antitermination protein
CD630_00610	0	4	2	3	0	7	1	1	2.41	4	1	0.754	-0.407	-0.886	0.375559505427923	0.568711426948229	0	1.3489	1.2771	1.2771	TRUE	NA	J	50S ribosomal protein L11
CD630_00620	0	2	0	28	0	4	0	9	3.22	2	4	1.068	0.095	0.32	0.748681606375854	0.875123182163407	7.6914	0.9065	1.2423	7.6914	TRUE	NA	J	50S ribosomal protein L1
CD630_00630	0	0	6	10	0	0	4	3	1.85	0	4	1.452	0.539	1.279	0.20082621333582	0.38848349464962	0	2.2956	2.1332	2.1332	TRUE	NA	J	50S ribosomal protein L10
CD630_00640	0	0	0	15	0	0	0	5	1.24	0	2	1.205	0.269	0.79	0.429419698039546	NA	10	3.8533	4.7074	4.7074	TRUE	NA	J	50S ribosomal protein L7/L12
CD630_00650	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	Putative NADP-dependent deshydrogenase
CD630_00660	0	4	12	24	0	7	8	8	5.84	4	8	1.317	0.398	0.823	0.410603522406715	0.611669973894337	0	0.5346	0.5107	0.5107	TRUE	NA	K-K	DNA-directed RNA polymerase subunit beta
CD630_00670	0	4	17	20	0	7	12	7	6.36	4	10	1.386	0.471	0.965	0.334710007167736	0.526610411277238	0.3439	0.4916	0.4849	0.4849	TRUE	NA	K-K	DNA-directed RNA polymerase subunit beta%27
CD630_00680	0	0	6	15	0	0	4	5	2.26	0	4	1.664	0.735	1.584	0.11309005643337	0.277337605555537	0	1.5285	1.4241	1.4241	TRUE	NA	J	30S ribosomal protein S12
CD630_00690	1	2	6	10	2	4	4	3	3.32	3	4	1.064	0.09	0.194	0.846306291271923	0.933309741776513	0	0.8803	0.7145	0.7145	TRUE	NA	J	30S ribosomal protein S7
CD630_00700	2	0	15	62	5	0	10	20	8.8	2	15	2.358	1.238	2.161	0.0307270557083498	0.137826808318808	0.2826	0.3649	0.359	0.359	TRUE	NA	J	Elongation factor G %28EF-G%29
CD630_00710	2	5	5	49	5	9	3	16	8.3	7	10	1.172	0.229	0.485	0.62747929701119	0.799075817566152	0.5468	0.3842	0.4119	0.4119	TRUE	NA	J	Elongation factor EFTu/EF1A %28EF-Tu%29
CD630_00720	1	0	4	15	2	0	3	5	2.49	1	4	1.324	0.404	0.905	0.36531834204726	0.559838498202295	0	1.2696	1.1151	1.1151	TRUE	NA	J	30S ribosomal protein S10
CD630_00730	0	0	8	17	0	0	5	6	2.76	0	6	1.937	0.954	1.889	0.0589387465592634	0.192514855407039	0	1.0682	0.9908	0.9908	TRUE	NA	J	50S ribosomal protein L3
CD630_00740	0	4	9	11	0	7	6	4	4.26	4	5	1.079	0.109	0.234	0.815176845805942	0.909634892404254	0.326	0.7183	0.6979	0.6979	TRUE	NA	J	50S ribosomal protein L4
CD630_00750	0	3	1	3	0	5	1	1	1.78	2	1	0.814	-0.297	-0.712	0.476235355555108	0.673003256952129	0	2.4511	2.1683	2.1683	TRUE	NA	J	50S ribosomal protein L23
CD630_00760	2	1	14	32	5	2	10	11	6.61	4	10	1.614	0.69	1.359	0.174048653406403	0.354098984516476	0	0.4737	0.4034	0.4034	TRUE	NA	J	50S ribosomal protein L2
CD630_00770	0	1	3	9	0	2	2	3	1.71	1	2	1.155	0.208	0.519	0.603720240091584	0.778568178478764	0	2.6319	2.1638	2.1638	TRUE	NA	J	30S ribosomal protein S19
CD630_00780	1	0	1	10	2	0	1	3	1.56	1	2	1.095	0.131	0.34	0.734143691558234	NA	0.7196	2.9846	2.5933	2.5933	TRUE	NA	J	50S ribosomal protein L22
CD630_00790	6	6	9	22	14	11	6	7	9.48	12	6	0.738	-0.439	-0.936	0.349069827270532	0.541976837077931	0	0.3425	0.2834	0.2834	TRUE	NA	J	30S ribosomal protein S3
CD630_00800	2	0	0	5	5	0	0	2	1.55	2	1	0.883	-0.179	-0.472	0.636592893181628	NA	5.0934	3.0217	3.1675	3.1675	TRUE	NA	J	50S ribosomal protein L16
CD630_00801	0	1	0	3	0	2	0	1	0.7	1	0	0.96	-0.059	-0.21	0.833967222349383	NA	0	9.0154	8.2371	8.2371	TRUE	NA	J	50S ribosomal protein L29
CD630_00810	1	3	4	3	2	5	3	1	2.86	4	2	0.796	-0.33	-0.701	0.483253519726882	0.678633394842355	0	1.0224	0.8716	0.8716	TRUE	NA	J	30S ribosomal protein S17
CD630_00820	0	1	9	12	0	2	6	4	2.98	1	5	1.468	0.554	1.182	0.23702322299005	0.417358281198879	0	0.9782	0.8518	0.8518	TRUE	NA	J	50S ribosomal protein L14
CD630_00830	2	3	2	13	5	5	1	4	3.91	5	2	0.835	-0.261	-0.55	0.582033176997801	0.764679894257753	0	0.769	0.6675	0.6675	TRUE	NA	J	50S ribosomal protein L24
CD630_00840	1	7	5	22	2	13	3	7	6.41	8	5	0.869	-0.203	-0.431	0.666627193890743	0.832402210360928	0.3798	0.4878	0.4749	0.4749	TRUE	NA	J	50S ribosomal protein L5
CD630_00841	0	5	2	0	0	9	1	0	2.61	4	0	0.862	-0.214	-0.697	0.485970524272703	0.678633394842355	7.1387	1.1634	1.4242	7.1387	TRUE	NA	J	30S ribosomal protein S14 type Z
CD630_00850	2	6	3	11	5	11	2	4	5.28	8	3	0.67	-0.579	-1.164	0.244411536510986	0.424125901592593	0	0.5916	0.5134	0.5134	TRUE	NA	J	30S ribosomal protein S8
CD630_00860	2	0	11	18	5	0	7	6	4.49	2	6	1.437	0.523	1.072	0.283573848115675	0.47129174757253	0	0.6872	0.6332	0.6332	TRUE	NA	J	50S ribosomal protein L6
CD630_00870	0	2	4	11	0	4	3	4	2.5	2	4	1.129	0.175	0.39	0.69620148178601	0.858981228467406	0	1.2585	1.1079	1.1079	TRUE	NA	J	50S ribosomal protein L18
CD630_00880	7	3	6	16	16	5	4	5	7.68	10	4	0.689	-0.537	-1.105	0.269170774160224	0.454507018116425	0	0.4121	0.3682	0.3682	TRUE	NA	J	30S ribosomal protein S5
CD630_00881	3	1	0	4	7	2	0	1	2.49	4	0	0.65	-0.621	-1.303	0.192622138959273	0.378823539953238	0	1.2688	1.2215	1.2215	TRUE	NA	J	50S ribosomal protein L30
CD630_00890	2	0	0	8	5	0	0	3	1.79	2	2	0.931	-0.102	-0.26	0.7951524383937	0.902192189715929	6.1086	2.42	2.6656	2.6656	TRUE	NA	J	50S ribosomal protein L15
CD630_00900	0	4	13	22	0	7	9	7	5.85	4	8	1.316	0.396	0.82	0.412099685801693	0.611669973894337	0	0.5341	0.512	0.512	TRUE	NA	U	Preprotein translocase SecY subunit
CD630_00910	0	5	3	8	0	9	2	3	3.44	4	2	0.811	-0.302	-0.64	0.522313468374175	0.712520107146273	0.7535	0.8534	0.8471	0.8471	TRUE	NA	F	Adenylate kinase
CD630_00920	0	4	2	12	0	7	1	4	3.15	4	2	0.913	-0.132	-0.286	0.775199808297044	0.892425145161476	1.0054	0.9252	0.9326	0.9326	TRUE	NA	J	Methionine aminopeptidase Map1 %28MAP%29 %28Peptidase M%29
CD630_00930	0	1	0	4	0	2	0	1	0.78	1	0	0.974	-0.038	-0.128	0.898013828628576	NA	0	7.4512	6.9551	6.9551	TRUE	NA	notInCOG	Ribosomal protein L14E/L6E/L27E-like
CD630_00940	0	8	0	5	0	15	0	2	4.05	8	1	0.844	-0.245	-0.787	0.431140175519161	0.619320915004813	7.0549	0.748	0.9649	7.0549	TRUE	NA	J	Translation initiation factor IF-1
CD630_00941	0	0	1	1	0	0	1	0	0.25	0	0	1.016	0.022	0.086	0.931538183208448	NA	0	43.6455	10	10	TRUE	NA	J	50S ribosomal protein L36
CD630_00950	1	0	2	7	2	0	1	2	1.49	1	2	1.08	0.111	0.29	0.771815300272318	NA	0	3.1729	2.6148	2.6148	TRUE	NA	J	30S ribosomal protein S13
CD630_00960	0	2	6	10	0	4	4	3	2.76	2	4	1.179	0.238	0.521	0.602260875479053	0.778568178478764	0	1.0729	0.947	0.947	TRUE	NA	J	30S ribosomal protein S11
CD630_00970	0	2	10	16	0	4	7	5	3.93	2	6	1.404	0.489	1.014	0.310700102151542	0.509202945192805	0	0.7657	0.6821	0.6821	TRUE	NA	J	30S ribosomal protein S4
CD630_00980	0	1	5	20	0	2	3	7	2.96	1	5	1.467	0.553	1.184	0.236492546191359	0.417358281198879	0	0.9857	0.8729	0.8729	TRUE	NA	K	DNA-directed RNA polymerase subunit alpha
CD630_00990	2	0	0	7	5	0	0	2	1.71	2	1	0.917	-0.126	-0.323	0.746808433141889	0.875123182163407	5.8293	2.6218	2.8405	2.8405	TRUE	NA	J	50S ribosomal protein L17
CD630_01000	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR	ABC-type transport system%2C cobalt-specific ATP-binding protein
CD630_01010	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR	ABC-type transport system%2C cobalt-specific ATP-binding protein
CD630_01020	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	H	ABC-type transport system%2C cobalt-specific permease
CD630_01030	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	J	tRNA pseudouridine synthase A 1
CD630_01040	0	2	2	4	0	4	1	1	1.58	2	1	0.949	-0.075	-0.19	0.849607727218721	NA	0	2.9424	2.4585	2.4585	TRUE	NA	J	50S ribosomal protein L13
CD630_01050	0	0	8	5	0	0	5	2	1.78	0	4	1.41	0.496	1.208	0.226870874067778	0.414543593358062	0.9503	2.4663	2.3667	2.3667	TRUE	NA	J	30S ribosomal protein S9
CD630_01060	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Germination-specific N-acetylmuramoyl-L-alanine amidase%2C Autolysin
CD630_01070	0	0	0	4	0	0	0	1	0.33	0	0	1.032	0.046	0.176	0.860578091675556	NA	0	28.4427	10	10	TRUE	NA	E	Aspartate aminotransferase
CD630_01080	0	2	0	6	0	4	0	2	1.4	2	1	0.929	-0.106	-0.287	0.77384108976607	NA	4.5508	3.3784	3.4644	3.4644	TRUE	NA	F	Anaerobic ribonucleoside triphosphate reductase
CD630_01090	0	0	2	2	0	0	1	1	0.51	0	1	1.055	0.078	0.295	0.767906415165046	NA	0	15.0581	10	10	TRUE	NA	O	Anaerobic ribonucleoside-triphosphate reductase-activating protein
CD630_01100	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	T	Conserved hypothetical protein%2C CHP00159 family
CD630_01110	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	T	Conserved hypothetical protein
CD630_01111	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
CD630_01120	0	0	1	2	0	0	1	1	0.34	0	1	1.032	0.045	0.173	0.862436771713756	NA	0	27.7226	10	10	TRUE	NA	C	phosphate butyryltransferase
CD630_01130	2	0	1	7	5	0	1	2	1.88	2	2	0.939	-0.09	-0.218	0.827149120325137	0.916465692003438	0.8093	2.2141	2.0293	2.0293	TRUE	NA	C	Butyrate kinase %28BK%29 %28Branched-chain carboxylic acid kinase%29
CD630_01140	9	2	1	6	20	4	1	2	6.68	12	2	0.362	-1.467	-2.45	0.0142936371545936	0.111879750057849	0	0.4692	0.4891	0.4891	TRUE	NA	notInCOG	Conserved hypothetical protein
CD630_01150	0	0	1	6	0	0	1	2	0.67	0	2	1.08	0.111	0.402	0.687524752697129	NA	0	9.8681	8.8863	8.8863	TRUE	NA	P	Putative 4Fe-4S ferredoxin%2C iron-sulfur binding domain protein%2C delta subunit
CD630_01160	2	3	40	23	5	5	27	8	11.21	5	18	1.822	0.866	1.675	0.0939184199905598	0.249042102446878	0.4109	0.2989	0.3196	0.3196	TRUE	NA	C	Putative ferredoxin/flavodoxin oxidoreductase%2C alpha subunit
CD630_01170	10	4	15	17	23	7	10	6	11.45	15	8	0.716	-0.481	-1.026	0.304713282768314	0.502883459673582	0.2339	0.2941	0.286	0.286	TRUE	NA	C	Putative ferredoxin/flavodoxin oxidoreductase%2C beta subunit
CD630_01180	0	0	24	6	0	0	16	2	4.58	0	9	2.478	1.309	2.347	0.018939629119224	0.118299293474036	2.8736	0.6756	0.811	0.811	TRUE	NA	C	Putative ferredoxin/flavodoxin oxidoreductase%2C gamma subunit
CD630_01190	0	0	2	8	0	0	1	3	1	0	2	1.182	0.241	0.706	0.480079121973137	NA	0	4.9473	4.5599	4.5599	TRUE	NA	G	Phosphoglucosamine mutase
CD630_01200	0	0	6	12	0	0	4	4	2.01	0	4	1.532	0.616	1.404	0.160417740399269	0.334243225635708	0	1.94	1.8033	1.8033	TRUE	NA	M	Glucosamine--fructose-6-phosphate aminotransferase %5Bisomerizing%5D
CD630_01210	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	P	Putative thiosulfate sulfurtransferase
CD630_01220	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Putative exported protein
CD630_01230	0	0	4	5	0	0	3	2	1.09	0	2	1.209	0.274	0.775	0.438360807013902	NA	0	4.4081	4.0573	4.0573	TRUE	NA	M	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CD630_01240	0	0	0	5	0	0	0	2	0.41	0	1	1.045	0.064	0.241	0.809341083045668	NA	0	20.2414	10	10	TRUE	NA	M	Stage II sporulation protein D
CD630_01250	0	0	1	7	0	0	1	2	0.75	0	2	1.102	0.14	0.477	0.633599365806687	NA	0	8.0974	7.3954	7.3954	TRUE	NA	D	Stage II sporulation protein Q
CD630_01260	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	DK	Stage III sporulation protein D
CD630_01270	0	0	0	2	0	0	0	1	0.16	0	0	0.996	-0.006	-0.024	0.981064521226078	NA	0	91.5366	10	10	TRUE	NA	DZ	Rod shape-determining protein MreB
CD630_01280	0	0	4	1	0	0	3	0	0.76	0	2	1.103	0.142	0.48	0.630956312494527	NA	0	7.8003	7.2812	7.2812	TRUE	NA	I	%283R%29-hydroxymyristoyl-%5Bacyl-carrier-protein%5D dehydratase
CD630_01290	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	Conserved hypothetical protein%2C DUF1256 family
CD630_01300	0	0	4	1	0	0	3	0	0.76	0	2	1.103	0.142	0.48	0.630956312494527	NA	0	7.8003	7.2812	7.2812	TRUE	NA	H	S-adenosylmethionine synthetase
CD630_01310	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	S	Putative membrane protein
CD630_01320	0	0	2	0	0	0	1	0	0.34	0	0	1.032	0.045	0.171	0.864394441197924	NA	0	27.0345	10	10	TRUE	NA	L	Putative DNA helicase%2C RecD/TraA type
CD630_01330	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	Putative phosphoribosyl transferase
CD630_01340	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	K-GT	Transcription antiterminator%2C PTS operon regulator
CD630_01350	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	PTS system%2C lactose/cellobiose-family IIA component
CD630_01360	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	PTS system%2C lactose/cellobiose-family IIB component
CD630_01370	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	PTS system%2C lactose/cellobiose-family IIC component
CD630_01380	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	notInCOG	Conserved hypothetical protein
